country,region,bbox
Andorra,Escaldes-Engordany,"42.45307485358658,1.499089369678643,42.53885741473789,1.6569836830000781"
Andorra,La Massana,"42.50407338400002,1.4064563390001013,42.60205190167392,1.5563509184601116"
Andorra,Ordino,"42.5626544221638,1.4514148358260286,42.64936167400002,1.5987393371506755"
Andorra,Sant Julià de Lòria,"42.42867747000004,1.4075932210000985,42.51803503368984,1.5749423297247063"
Angola,Bengo,"-10.439000746087572,13.094134886713935,-7.61984465880397,14.718254429398371"
Angola,Benguela,"-13.874088229588153,12.512705925000091,-11.748739922809193,15.1108402845515"
Angola,Bié,"-14.311632581478477,15.748165723968953,-10.574186292863146,19.235963168665307"
Angola,Cabinda,"-5.763441664999959,12.009607691000042,-4.391203714999932,13.073702840000067"
Angola,Cuando Cubango,"-18.031404723999884,16.4617655781189,-13.572349542097697,23.382272583000088"
Angola,Cuanza Norte,"-9.781728204293188,14.074004346923061,-7.9340890434745575,15.817567173386351"
Angola,Cuanza Sul,"-12.205972995557318,13.489086275677975,-9.673311049265521,16.611575554668093"
Angola,Cunene,"-17.42358652799993,13.14450035960391,-15.150651137240175,17.41746951730437"
Angola,Huambo,"-13.764069105904525,14.806569452418273,-11.443745618465528,16.58284345905838"
Angola,Huíla,"-16.366545911864364,13.220723096593645,-13.33959889107598,16.748001335792992"
Angola,Luanda,"-9.330254815999922,12.992360873000052,-8.581555615208524,13.640749138861679"
Angola,Lunda Norte,"-10.416366468537717,17.333391961269967,-6.915959166999926,21.920553019000124"
Angola,Lunda Sul,"-11.47480315494164,18.45125654455387,-8.332100924917768,22.313397258000066"
Angola,Malanje,"-11.726157322102722,15.109393344627165,-7.321619967887216,18.83686608160434"
Angola,Moxico,"-16.16588551850191,17.945240920132335,-10.58870737074858,24.061714315000103"
Angola,Namibe,"-17.265870055999883,11.66939414300009,-13.521654961607226,13.681108433407474"
Angola,Uíge,"-8.408220310019317,13.797483757569353,-5.854628600999959,17.09789494799344"
Angola,Zaire,"-7.792776638720737,12.275060383000039,-5.841606139999925,14.967644890898953"
Anguilla,Blowing Point,"18.176174221000053,-63.113872225722616,18.21248462306687,-63.06133404313158"
Anguilla,East End,"18.2345250563514,-63.013521722349594,18.297251026862686,-62.92568246172179"
Anguilla,George Hill,"18.202760427351848,-63.07262947946691,18.219152103187014,-63.061307675908495"
Anguilla,Island Harbour,"18.267336273849935,-63.00754847748027,18.274897109773615,-62.994522918299275"
Anguilla,North Hill,"18.216270553043557,-63.07790158819733,18.231349113395172,-63.04697188984085"
Anguilla,North Side,"18.23544116188009,-63.06116477783558,18.270349750095725,-63.02228248065194"
Anguilla,Sandy Ground,"18.21246979400007,-63.09723873599995,18.22596689496088,-63.07552242222198"
Anguilla,Sandy Hill,"18.21503112502773,-63.034228968592004,18.25618621742001,-62.994407340026726"
Anguilla,South Hill,"18.183582987957347,-63.12279212099992,18.219550319391715,-63.061307675908495"
Anguilla,Stoney Ground,"18.232266736720533,-63.04811386066615,18.27196882837393,-62.99520377333545"
Anguilla,The Farrington,"18.198851194249563,-63.06138795798485,18.227912861489358,-63.03043528185997"
Anguilla,The Quarter,"18.2267182128752,-63.04697188984085,18.235164828993675,-63.0292976305812"
Anguilla,The Valley,"18.2267182128752,-63.07271784643071,18.245783646662915,-63.04410813548208"
Anguilla,West End,"18.169094143000052,-63.16783606699994,18.20807526200008,-63.122599348333104"
Anguilla,,"18.26149475872661,-63.42882239499994,18.601263739000046,-63.16831557177708"
Antarctica,Antarctica,"-89.99999999999994,-179.99999999999991,-60.51620859199994,180.0"
Antarctica,,"-83.2268205709999,-171.9013565749999,-61.12704843499995,169.96168053500003"
Antigua and Barbuda,Barbuda,"17.54555898600006,-61.87385006399995,17.727687893000052,-61.727772589999915"
Antigua and Barbuda,Redonda,"16.931969600900484,-62.34826033833981,16.940896893173008,-62.342918021704286"
Antigua and Barbuda,Saint George,"17.071428034176392,-61.8058428355784,17.164943752052523,-61.755841366186075"
Antigua and Barbuda,Saint John,"17.04285576608072,-61.89415442599994,17.168768622000073,-61.774209252754815"
Antigua and Barbuda,Saint Mary,"17.004828192000048,-61.89037024599992,17.094898111958287,-61.80406653604177"
Antigua and Barbuda,Saint Paul,"16.98924388200004,-61.81502677976209,17.06428496737732,-61.726226365999935"
Antigua and Barbuda,Saint Peter,"17.060203214406783,-61.774209252754815,17.141506252000056,-61.70860755099994"
Antigua and Barbuda,Saint Philip,"17.027818101000037,-61.73339172664686,17.100531317000048,-61.66759192599994"
Argentina,Buenos Aires,"-41.04501718499995,-63.3888126288997,-33.256574394892425,-56.66486568899995"
Argentina,Catamarca,"-30.14017546952232,-69.13406045699995,-25.15999651672587,-64.88246822812624"
Argentina,Chaco,"-28.002683200769127,-63.39857947496279,-24.120646253621715,-58.35127489620397"
Argentina,Chubut,"-46.0000300595396,-72.14853715099989,-41.99903818096726,-63.579335089999915"
